Secteur;Commune;Population;lit_touristique;population_estivale_potentielle;coefficient_pression_estivale
CH de Sète;Agde;29939;52724;82663;2,76
CH de Sète;Marseillan;8414;14370;22784;2,71
CH de Sète;Mèze;12669;1306;13975;1,10
CH de Sète;Loupian;2169;402;2571;1,19
CH de Sète;Villeveyrac;3972;390;4362;1,10
CH de Sète;Poussan;6797;270;7067;1,04
CH de Sète;Bouzigues;1601;298;1899;1,19
CH de Sète;Balaruc-les-Bains;7139;7826;14965;2,10
CH de Sète;Frontignan;24136;2378;26514;1,10
CH de Sète;Sète;45337;8866;54203;1,20
CH de Sète;Balaruc-le-Vieux;2737;454;3191;1,17
